mirna,protein,cor_score,pval,adj_pval,de_mirna,de_prot,both_de,is_target
hsa-miR-128-1-5p,TPM3,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-1246,ACTA2,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1246,FAM110D,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1246,PON1,1,0,0,FALSE,FALSE,FALSE,FALSE
hsa-miR-2355-5p,IGHV1-18,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-4775,DHX15,-0.9387,1e-04,0.0433,FALSE,TRUE,FALSE,FALSE
hsa-miR-6513-5p,ACTB,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-6513-5p,GAPDH,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-6513-5p,IGLV4-3,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-6513-5p,PSMA4,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-6513-5p,PSMA7,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-6513-5p,TLN1,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,TRUE
hsa-miR-103a-2-5p,CD63,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-499a-5p,HNRNPD,-0.9879,0,0.0011,FALSE,FALSE,FALSE,TRUE
hsa-miR-548o-3p,STX7,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3617-5p,COLEC11,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-6813-5p,ACTN1,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-6813-5p,ROCK2,0.9636,0,0.0182,FALSE,FALSE,FALSE,FALSE
hsa-miR-6813-5p,SPTB,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-6813-5p,TPM4,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-3199,SLC2A1,-0.9515,0,0.0281,TRUE,FALSE,FALSE,FALSE
hsa-miR-6819-5p,PI16,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-4766-3p,SLC2A1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-33a-3p,RAB5C,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-1249-3p,CCT3,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-1249-3p,GC,-0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-miR-1249-3p,PI16,0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-1249-3p,STAT5A,0.9758,0,0.007,FALSE,FALSE,FALSE,FALSE
hsa-let-7a-3p,BSG,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-548ay-5p,CAPN1,-0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-1226-3p,GDI1,0.9515,0,0.0281,FALSE,FALSE,FALSE,FALSE
hsa-miR-191-5p,SELPLG,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
hsa-miR-191-3p,SLC2A1,-0.9394,1e-04,0.0416,FALSE,FALSE,FALSE,FALSE
